concept_id,label,concept_class
2617470,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report",Hcpcs
2617471,"Electrocardiogram, routine ecg with 12 leads; tracing only, without interpretation and report, performed as a screening for the initial preventive physical examination",Hcpcs
40297728,12 lead ECG,Procedure
40297738,12 lead ECG,Procedure
40329487,12 lead ECG,Procedure
40491312,12 lead electrocardiogram at rest,Procedure
40491313,12 lead electrocardiogram during exercise,Procedure
4065277,Standard ECG,Procedure
4145308,12 lead ECG,Procedure
