concept_id,label,concept_class
1102627,"Type 1 diabetes mellitus, presymptomatic",4CharNonbillCode
1244603,Presymptomatic type 1 diabetes mellitus,Disorder
1340528,Slowly progressive insulin dependent diabetes mellitus type 1A,Disorder
1567940,Type 1 diabetes mellitus,3CharNonbillCode
1571685,"Pre-existing type 1 diabetes mellitus, in pregnancy",5CharNonbillCode
201254,Type 1 diabetes mellitus,Disorder
3522463,Type I diabetes mellitus,Undefined
3522465,Type I diabetes mellitus with ulcer,Undefined
3522630,Type I diabetes mellitus,Undefined
3522660,Type I diabetes mellitus,Undefined
3522920,Type I diabetes mellitus with ulcer,Undefined
3522922,Type I diabetes mellitus maturity onset,Undefined
3523165,"Diabetes insipidus,diabetes mellitus, optic atrophy and deafness",Undefined
3527637,Latent autoimmune diabetes mellitus in adult,Disorder
3527722,Latent autoimmune diabetes mellitus in adult,Undefined
3571533,Pregnancy and insulin-dependent diabetes mellitus,Undefined
3572830,Type I diabetes mellitus maturity onset,Undefined
3573913,"Diabetes insipidus, diabetes mellitus, optic atrophy and deafness",Undefined
36209547,Insulin dependent diabetes mellitus,LoincComponent
3661732,Newly diagnosed type 1 diabetes mellitus,Disorder
36685758,Ketosis-prone diabetes mellitus,Disorder
36717215,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome",Disorder
37163452,Fulminant type 1 diabetes mellitus,Disorder
37165632,"Juvenile-onset diabetes mellitus, central and peripheral neurodegeneration syndrome",Disorder
37168689,Wolfram syndrome type 1,Disorder
37168690,Wolfram syndrome type 2,Disorder
37174264,Diabetes mellitus type 1 stage 1,Disorder
37174265,Diabetes mellitus type 1 stage 2,Disorder
37174270,Diabetes mellitus type 1 stage 3,Disorder
3968674,Diabetes Type I,Answer
40321135,Diabetes mellitus: [juvenile] or [insulin dependent],Disorder
40386754,Type I diabetes mellitus,Disorder
40386766,Type I diabetes mellitus without complication,Disorder
4047906,Insulin dependent diabetes mellitus type 1A,Disorder
40484649,Well controlled type 1 diabetes mellitus,Disorder
4063042,Pre-existing type 1 diabetes mellitus,Disorder
4099214,Type 1 diabetes mellitus with ulcer,Disorder
4099215,Type 1 diabetes mellitus maturity onset,Disorder
4102018,Insulin dependent diabetes mellitus type 1B,Disorder
4145827,Latent autoimmune diabetes mellitus in adult,Disorder
4322638,Wolfram syndrome,Disorder
43531008,Pre-existing type 1 diabetes mellitus in pregnancy,Disorder
43531009,Pregnancy and type 1 diabetes mellitus,Disorder
443412,Type 1 diabetes mellitus without complication,Disorder
44810563,Type I diabetes mellitus in remission,Disorder
45543921,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester",6CharBillingCode
45558213,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",Icd10Code
45576436,Type 1 diabetes mellitus,Icd10Hierarchy
45757674,Diabetes mellitus type 1 without retinopathy,Disorder
45766051,Type I diabetes mellitus in remission,Disorder
45883360,Diabetes Type 1,Answer
46237470,T1d,Answer
604357,Ketosis-prone diabetes mellitus,Disorder
766252,Exacerbation of type 1 diabetes mellitus,Disorder
